quarter_id,indicator_code,value,value_status,source_file
2008Q2,inflation_yoy,8.3116,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q2,inflation_yoy_accel,3.1019,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q2,growth_employment_gap,5.631,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q3,underemployment_change_qoq,1.328,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q3,underemployment_rate,21.083,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q3,unemployment_rate,7.363,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q3,employment_rate,92.637,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q3,lfpr,64.252,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q3,underemployment_change_yoy,-0.908,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q3,gdp_growth_yoy,5.4,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q3,gdp_growth_yoy_accel,0.6,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q3,gdp_level,2.4912e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q3,gdp_growth_qoq,-4.2952,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q3,cpi_index,74.7452,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q3,inflation_yoy,10.2804,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q3,inflation_yoy_accel,1.9688,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q3,growth_employment_gap,4.492,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q4,underemployment_change_qoq,-3.625,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q4,underemployment_rate,17.458,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q4,unemployment_rate,6.814,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q4,employment_rate,93.186,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q4,lfpr,63.694,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
